,host_count,avg_token_length,token_count,largest_token,url_length,ip_address,dots_count,critical_words,host_rank,host_country
313,1,6.33,3,13,28,0,2,0,-1,-1
314,18,5.33,3,10,44,0,2,0,-1,-1
315,18,5.33,3,10,35,0,2,1,-1,-1
316,53,4.67,3,8,27,0,2,0,-1,-1
317,32,4.0,3,6,30,0,2,0,-1,-1
318,197,6.33,3,11,67,0,2,0,326,217
319,53,4.67,3,8,27,0,2,0,-1,-1
320,83,6.0,2,9,23,0,1,0,6109,1342
321,197,6.33,3,11,67,0,2,0,326,217
322,3,4.0,3,7,42,0,2,0,-1,-1
323,40,4.0,3,7,43,0,3,1,-1,-1
324,40,4.0,3,7,39,0,3,1,-1,-1
325,40,4.0,3,7,39,0,3,1,-1,-1
326,47,3.33,3,5,43,0,2,0,-1,-1
327,2,5.33,3,9,59,0,2,0,-1,-1
328,2,5.33,3,9,44,0,2,0,-1,-1
329,2,6.0,3,8,80,0,2,0,722163,230380
330,4,5.0,3,9,24,0,2,0,-1,-1
331,4,5.0,3,9,25,0,2,0,-1,-1
332,3,5.5,2,8,41,0,2,0,-1,-1
333,7,3.67,3,5,21,0,2,0,-1,-1
334,12,9.0,3,21,36,0,2,0,-1,-1
335,12,9.0,3,21,95,0,4,0,-1,-1
336,53,4.67,3,8,27,0,2,0,-1,-1
337,83,6.0,2,9,23,0,1,0,6109,1342
338,197,6.33,3,11,67,0,2,0,326,217
339,1,5.0,2,7,18,0,1,0,-1,-1
340,3,7.5,2,12,29,0,1,0,-1,-1
341,10,5.0,3,6,51,0,3,0,726140,116570
342,10,5.0,3,6,95,0,5,0,726140,116570
343,1,5.5,2,8,42,0,2,0,-1,-1
344,1,5.0,3,9,24,0,2,0,-1,-1
345,1,5.33,3,10,25,0,2,0,360974,251919
346,1,6.0,3,12,57,0,3,0,-1,-1
347,2,4.0,3,6,37,0,3,0,-1,-1
348,2,4.0,3,6,41,0,3,0,-1,-1
349,1,6.0,3,12,38,0,2,0,-1,-1
350,1,10.5,2,18,54,0,3,0,-1,-1
351,5,2.75,4,3,28,0,2,0,-1,-1
352,1,2.75,4,3,36,1,4,0,-1,-1
353,4,2.75,4,3,37,1,4,0,-1,-1
354,4,2.75,4,3,50,1,4,0,-1,-1
355,9,2.75,4,3,42,0,3,0,-1,-1
356,9,2.75,4,3,34,0,3,0,-1,-1
357,83,6.0,2,9,23,0,1,0,6109,1342
358,197,6.33,3,11,67,0,2,0,326,217
359,44,3.5,2,4,37,0,1,0,-1,-1
360,2,4.0,2,5,16,0,1,0,-1,-1
361,53,4.67,3,8,27,0,2,0,-1,-1
362,83,6.0,2,9,23,0,1,0,6109,1342
363,197,6.33,3,11,67,0,2,0,326,217
364,3,4.75,4,12,35,0,3,0,10011,303
365,3,4.75,4,12,59,0,4,0,10011,303
366,3,4.75,4,12,43,0,3,0,10011,303
367,47,3.33,3,5,43,0,2,0,-1,-1
368,15,5.67,3,11,33,0,2,0,-1,-1
369,15,5.67,3,11,33,0,2,0,-1,-1
370,8,7.0,2,11,23,0,1,0,-1,-1
371,3,4.0,3,6,21,0,2,0,-1,-1
372,53,4.67,3,8,27,0,2,0,-1,-1
373,83,6.0,2,9,23,0,1,0,6109,1342
374,197,6.33,3,11,67,0,2,0,326,217
375,1,4.67,3,6,31,0,2,0,-1,-1
376,7,5.0,3,9,86,0,4,0,-1,-1
377,8,4.67,3,8,35,0,2,0,-1,-1
378,8,4.67,3,8,47,0,3,0,-1,-1
379,2,2.25,4,3,30,1,3,0,-1,-1
380,2,8.0,2,13,35,0,1,0,-1,-1
381,2,8.0,2,13,35,0,2,0,-1,-1
382,1,2.5,4,3,51,1,4,0,-1,-1
383,32,6.33,3,13,28,0,2,0,-1,-1
384,83,6.0,2,9,23,0,1,0,6109,1342
385,197,6.33,3,11,67,0,2,0,326,217
386,1,5.0,3,9,39,0,3,0,-1,-1
387,4,4.75,4,8,29,0,2,0,-1,-1
388,4,4.75,4,8,40,0,3,0,-1,-1
389,1,4.0,4,6,27,0,2,0,-1,-1
390,9,2.5,4,3,26,1,3,0,-1,-1
391,9,2.5,4,3,36,1,4,0,-1,-1
392,83,6.0,2,9,23,0,1,0,6109,1342
393,197,6.33,3,11,67,0,2,0,326,217
394,2,7.5,2,12,23,0,1,0,-1,-1
395,18,5.67,3,11,33,0,2,0,-1,-1
396,18,5.67,3,11,33,0,2,0,-1,-1
397,14,9.0,3,21,62,0,3,0,-1,-1
398,5,8.0,3,18,34,0,2,0,-1,-1
399,15,4.33,3,5,33,0,2,1,-1,-1
400,15,4.33,3,5,41,0,3,0,-1,-1
401,15,5.67,3,11,33,0,2,0,-1,-1
402,15,5.67,3,11,33,0,2,0,-1,-1
403,47,3.33,3,5,41,0,2,0,-1,-1
404,44,3.5,2,4,37,0,1,0,-1,-1
405,44,3.5,2,4,37,0,1,0,-1,-1
406,1,2.5,4,3,20,1,3,0,-1,-1
407,3,6.33,3,13,36,0,2,0,-1,-1
408,7,5.0,3,9,86,0,4,0,-1,-1
409,83,6.0,2,9,23,0,1,0,6109,1342
410,197,6.33,3,11,67,0,2,0,326,217
411,18,5.67,3,11,33,0,2,0,-1,-1
412,18,5.67,3,11,33,0,2,0,-1,-1
413,2,4.0,4,7,26,0,2,0,-1,-1
414,4,6.0,3,8,28,0,2,0,130458,27671
415,7,6.0,3,8,28,0,2,0,130458,27671
416,15,5.67,3,11,33,0,2,0,-1,-1
417,32,4.0,3,6,30,0,2,0,-1,-1
418,197,6.33,3,11,67,0,2,0,326,217
419,28,5.67,3,11,33,0,2,0,-1,-1
420,28,5.67,3,11,33,0,2,0,-1,-1
421,1,3.0,4,3,23,1,3,0,-1,-1
422,53,4.67,3,8,27,0,2,0,-1,-1
423,32,4.0,3,6,30,0,2,0,-1,-1
424,197,6.33,3,11,67,0,2,0,326,217
425,2,2.5,4,3,35,1,4,0,-1,-1
426,8,4.67,3,8,32,0,2,0,-1,-1
427,83,6.0,2,9,23,0,1,0,6109,1342
428,197,6.33,3,11,67,0,2,0,326,217
429,83,6.0,2,9,23,0,1,0,6109,1342
430,197,6.33,3,11,67,0,2,0,326,217
431,83,6.0,2,9,23,0,1,0,6109,1342
432,197,6.33,3,11,67,0,2,0,326,217
433,47,3.33,3,5,41,0,2,0,-1,-1
434,83,6.0,2,9,23,0,1,0,6109,1342
435,197,6.33,3,11,67,0,2,0,326,217
436,11,6.33,3,13,28,0,2,0,-1,-1
437,11,6.33,3,13,28,0,2,0,-1,-1
438,83,6.0,2,9,23,0,1,0,6109,1342
439,197,6.33,3,11,67,0,2,0,326,217
440,47,3.33,3,5,43,0,2,0,-1,-1
441,44,3.5,2,4,37,0,1,0,-1,-1
442,40,4.0,3,7,41,0,3,1,-1,-1
443,40,4.0,3,7,41,0,3,1,-1,-1
444,40,4.0,3,7,41,0,3,1,-1,-1
445,40,4.0,3,7,41,0,3,1,-1,-1
446,40,4.0,3,7,41,0,3,1,-1,-1
447,7,3.33,3,4,56,0,3,0,-1,-1
448,2,6.33,3,11,34,0,2,0,-1,-1
449,2,7.0,3,13,36,0,2,0,101213,31024
450,2,7.0,3,13,36,0,2,0,-1,-1
451,1,9.0,3,21,36,0,2,0,-1,-1
452,47,3.33,3,5,43,0,2,0,-1,-1
453,2,4.75,4,9,29,0,2,0,-1,-1
454,32,4.0,3,6,30,0,2,0,-1,-1
455,2,4.5,2,6,19,0,2,0,-1,-1
456,3,4.0,3,6,21,0,2,0,-1,-1
457,197,6.33,3,11,67,0,2,0,326,217
458,32,6.33,3,13,28,0,2,0,-1,-1
459,32,6.33,3,13,28,0,2,0,-1,-1
460,44,3.5,2,4,37,0,1,0,-1,-1
461,8,4.33,3,7,34,0,3,0,-1,-1
462,8,4.33,3,7,32,0,2,0,-1,-1
463,2,2.5,4,3,35,1,4,0,-1,-1
464,15,4.33,3,5,33,0,2,1,-1,-1
465,15,4.33,3,5,41,0,3,0,-1,-1
466,2,7.33,3,16,61,0,3,1,-1,-1
467,2,7.33,3,16,41,0,2,0,-1,-1
468,18,5.33,3,10,31,0,2,0,-1,-1
469,18,5.33,3,10,44,0,2,0,-1,-1
470,1,9.0,2,15,58,0,3,0,-1,-1
471,1,7.0,3,15,41,0,2,0,-1,-1
472,6,4.0,3,5,21,0,2,0,-1,-1
473,6,4.0,3,5,38,0,2,0,-1,-1
474,47,3.33,3,5,41,0,2,0,-1,-1
475,32,6.33,3,13,28,0,2,0,-1,-1
476,32,6.33,3,13,28,0,2,0,-1,-1
477,8,8.0,3,18,52,0,2,0,-1,-1
478,8,8.0,3,18,43,0,2,0,-1,-1
479,47,3.33,3,5,41,0,2,0,-1,-1
480,44,3.5,2,4,37,0,1,0,-1,-1
481,3,4.0,3,7,42,0,2,0,-1,-1
482,40,4.0,3,7,40,0,3,1,-1,-1
483,40,4.0,3,7,39,0,3,1,-1,-1
484,40,4.0,3,7,39,0,3,1,-1,-1
485,40,4.0,3,7,39,0,3,1,-1,-1
486,47,3.33,3,5,43,0,2,0,-1,-1
487,3,6.33,3,8,53,0,3,0,130458,27671
488,1,6.0,3,8,82,1,6,0,-1,-1
489,7,6.0,3,8,28,0,2,0,130458,27671
490,1,4.33,3,7,22,0,2,0,-1,-1
491,32,4.0,3,6,30,0,2,0,-1,-1
492,197,6.33,3,11,67,0,2,0,326,217
493,4,7.0,3,12,42,0,2,0,-1,-1
494,4,7.0,3,12,45,0,2,0,-1,-1
495,1,3.33,3,4,27,0,2,0,-1,-1
496,1,6.67,3,12,42,0,0,0,-1,-1
497,53,4.67,3,8,27,0,2,0,-1,-1
498,32,4.0,3,6,30,0,2,0,-1,-1
499,8,4.67,3,8,35,0,2,0,-1,-1
500,8,4.67,3,8,47,0,3,0,-1,-1
501,197,6.33,3,11,67,0,2,0,326,217
502,2,5.33,3,10,25,0,2,0,-1,-1
503,44,3.5,2,4,37,0,1,0,-1,-1
504,15,4.33,3,5,33,0,2,1,-1,-1
505,15,4.33,3,5,41,0,3,0,-1,-1
506,7,3.67,3,5,21,0,2,0,-1,-1
507,12,9.0,3,21,36,0,2,0,-1,-1
508,12,9.0,3,21,95,0,4,0,-1,-1
509,32,4.0,3,6,30,0,2,0,-1,-1
510,197,6.33,3,11,67,0,2,0,326,217
511,2,6.67,3,11,29,0,2,0,-1,-1
512,2,6.67,3,11,41,0,3,0,-1,-1
513,44,3.5,2,4,37,0,1,0,-1,-1
514,83,6.0,2,9,23,0,1,0,6109,1342
515,1,7.33,3,16,44,0,2,0,-1,-1
516,197,6.33,3,11,67,0,2,0,326,217
517,1,3.33,3,6,19,0,2,0,-1,-1
518,7,5.0,3,9,86,0,4,0,-1,-1
519,1,9.0,3,21,41,0,2,0,-1,-1
520,18,5.67,3,11,33,0,2,0,-1,-1
521,18,5.67,3,11,33,0,2,0,-1,-1
522,4,6.0,3,8,28,0,2,0,130458,27671
523,7,6.0,3,8,28,0,2,0,130458,27671
524,53,4.67,3,8,27,0,2,0,-1,-1
525,83,6.0,2,9,23,0,1,0,6109,1342
526,197,6.33,3,11,67,0,2,0,326,217
527,32,6.33,3,13,28,0,2,0,-1,-1
528,32,6.33,3,13,28,0,2,0,-1,-1
529,1,6.75,4,11,37,0,3,0,-1,-1
530,44,3.5,2,4,37,0,1,0,-1,-1
531,44,3.5,2,4,37,0,1,0,-1,-1
532,32,6.33,3,13,28,0,2,0,-1,-1
533,32,6.33,3,13,28,0,2,0,-1,-1
534,1,2.5,4,3,20,1,3,0,-1,-1
